s2,s3,s10,s8,s12,s15,s19,s17,s18,s21,s5,s7,s20,s4,s16,s13,s9,s11,s14,s1,s6
1,0.752736318,0.663681592,0.68159204,0.621890547,0.532338308,0.691542289,0.417910448,0.144278607,0.373134328,0.333333333,0.412935323,0.129353234,0.293532338,0.273631841,0.383084577,0,0.114427861,0.104477612,0.03,0
0.913089005,1,0.546596859,0.952879581,0.696335079,0.984293194,0.581151832,0.654450262,0.340314136,0.643979058,0.382198953,0.219895288,0.418848168,0.596858639,0.015706806,0.19895288,0.213089005,0.020942408,0,0.04,0
0.854054054,1,0.697297297,0.951351351,0.697297297,0.983783784,0.789189189,0.821621622,0.437837838,0.578378378,0.491891892,0.237837838,0.47027027,0.583783784,0,0.172972973,0.240540541,0,0,0.09,0
1,0.681679389,1,0.717557252,0.72519084,0.801526718,0.877862595,0.541984733,0.748091603,0.229007634,0.396946565,0.152671756,0.374045802,0.076335878,0.465648855,0.122137405,0.165648855,0,0.053435115,0,0
0.676243094,1,0.748066298,0.922651934,0.640883978,0.944751381,0.696132597,0.762430939,0.729281768,0.436464088,0.497237569,0.17679558,0.64640884,0.397790055,0.038674033,0.171270718,0.385082873,0,0.027624309,0.07,0
0.939823009,1,0.72300885,0.836283186,0.694690265,0.884955752,0.699115044,0.615044248,0.522123894,0.46460177,0.477876106,0.150442478,0.482300885,0.384955752,0.128318584,0.256637168,0.226548673,0.004424779,0.017699115,0.01,0
0.993607306,1,0.664840183,0.652968037,0.707762557,0.867579909,0.662100457,0.488584475,0.639269406,0.356164384,0.255707763,0.196347032,0.351598174,0.269406393,0.438356164,0.242009132,0.252511416,0.059360731,0.292237443,0.05,0
0.906756757,1,0.582432432,0.959459459,0.756756757,0.959459459,0.682432432,0.587837838,0.466216216,0.513513514,0.385135135,0.317567568,0.554054054,0.662162162,0,0.222972973,0.064864865,0,0,0.07,0
1,1,0.91980198,0.806930693,0.608910891,0.717821782,0.801980198,0.524752475,0.410891089,0.277227723,0.51980198,0.257425743,0.341584158,0.301980198,0.128712871,0.232673267,0.006930693,0.03960396,0,0.05,0
1,1,0.824908425,0.714285714,0.63003663,0.824175824,0.846153846,0.67032967,0.468864469,0.476190476,0.424908425,0.216117216,0.241758242,0.201465201,0.172161172,0.194139194,0.055311355,0.051282051,0,0.01,0
1,0.923376623,0.653246753,0.714285714,0.766233766,0.733766234,0.662337662,0.512987013,0.350649351,0.435064935,0.311688312,0.220779221,0.233766234,0.227272727,0.590909091,0.227272727,0,0.032467532,0.253246753,0.06,0
0.99375,1,1,0.734375,0.484375,0.5703125,0.7578125,0.4765625,0.5390625,0.1640625,0.4765625,0.171875,0.3359375,0.125,0.359375,0.3359375,0,0.1015625,0.03125,0.04,0
